Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
ST ALBAN,QUEBEC,7016800,5255,,,46.72,-72.08,464300000,-720500000,76.2,1949,2021,,,1949.0,2021.0,1949.0,2018.0
ST ALEXIS DES MONTS,QUEBEC,7016816,5256,,,46.53,-73.15,463200000,-730900000,183.0,1963,2021,,,1963.0,2021.0,1963.0,2018.0
STE ANNE DE LA PERADE,QUEBEC,7016840,5257,,,46.58,-72.23,463500000,-721400000,16.0,1949,2021,,,1949.0,2021.0,1949.0,2018.0
ST AUGUSTIN,QUEBEC,7016900,5258,,,46.73,-71.5,464400000,-713000000,57.9,1964,1989,,,1964.0,1989.0,1964.0,1989.0
STE BEATRIX,QUEBEC,7016902,5259,,,46.2,-73.6,461200000,-733600000,198.0,1974,2021,,,1974.0,2021.0,1974.0,2018.0
ST BENOIT,QUEBEC,7016906,5260,,,45.57,-74.05,453400000,-740300000,53.0,1973,1991,,,1973.0,1991.0,1973.0,1991.0
STE CATHERINE,QUEBEC,7016932,5261,,,46.85,-71.62,465100000,-713700000,152.4,1964,1992,,,1964.0,1992.0,1964.0,1992.0
ST CHARLES DE MANDEVILLE,QUEBEC,7016960,5262,,,46.35,-73.35,462100000,-732100000,167.6,1921,2021,,,1921.0,2021.0,1921.0,2018.0
ST CHARLES MANDEVILLE 2,QUEBEC,7016981,5263,,,46.37,-73.35,462200000,-732100000,173.7,1968,1970,,,1968.0,1970.0,1968.0,1970.0
STE CHRISTINE,QUEBEC,7017000,5266,,,46.82,-71.92,464900000,-715500000,152.1,1950,2021,,,1950.0,2021.0,1950.0,2018.0
ST CLET NORD,QUEBEC,7017032,5267,,,45.38,-74.25,452300000,-741500000,61.0,1966,1982,,,1966.0,1982.0,1966.0,1982.0
