Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
SOOKE OTTER POINT,COLOMBIE-BRITANNIQUE,1017570,104,,,48.37,-123.82,482200000,-1234900000,39.6,1974,1977,,,1974.0,1977.0,1974.0,1977.0
SOOKE SASEENOS,COLOMBIE-BRITANNIQUE,1017575,105,,,48.38,-123.67,482300000,-1234000000,27.4,1976,1979,,,1976.0,1979.0,1976.0,1979.0
SOUTH PENDER ISLAND 2,COLOMBIE-BRITANNIQUE,1017610,106,,,48.75,-123.22,484500000,-1231300000,91.1,1966,1982,,,1966.0,1982.0,1966.0,1982.0
TRIAL ISLAND,COLOMBIE-BRITANNIQUE,1018238,27290,71034.0,WIN,48.4,-123.3,482342200,-1231817670,23.0,1997,1998,1997.0,1998.0,1998.0,1998.0,,
VICTORIA AMROTH PLACE,COLOMBIE-BRITANNIQUE,1018590,108,,,48.45,-123.28,482700000,-1231700000,18.3,1967,1969,,,1967.0,1969.0,1967.0,1969.0
VICTORIA ARDMORE,COLOMBIE-BRITANNIQUE,1018592,109,,,48.63,-123.47,483800000,-1232800000,24.4,1973,1976,,,1973.0,1976.0,1973.0,1976.0
VICTORIA BAY STREET,COLOMBIE-BRITANNIQUE,1018595,110,,,48.43,-123.37,482600000,-1232200000,13.7,1958,1961,,,1958.0,1961.0,1958.0,1961.0
VICTORIA UNIVERSITY CS,COLOMBIE-BRITANNIQUE,1018598,6812,71783.0,WYJ,48.46,-123.3,482725200,-1231816600,60.1,1992,2021,1994.0,2021.0,1992.0,2021.0,1992.0,2007.0
VICTORIA CAREY ROAD,COLOMBIE-BRITANNIQUE,1018600,111,,,48.47,-123.47,482800000,-1232800000,19.8,1966,1967,,,1966.0,1967.0,1966.0,1967.0
VICTORIA FRANCIS PARK,COLOMBIE-BRITANNIQUE,1018605,112,,,48.48,-123.44,482835000,-1232635000,55.0,1962,2017,,,1962.0,2017.0,1962.0,2007.0
VICTORIA GONZALES HTS,COLOMBIE-BRITANNIQUE,1018610,113,,WLM,48.41,-123.33,482447061,-1231930017,69.5,1898,2004,1953.0,2000.0,1898.0,2004.0,1898.0,2004.0
VICTORIA GONZALES CS,COLOMBIE-BRITANNIQUE,1018611,114,71200.0,WLM,48.41,-123.32,482447896,-1231929192,61.04,1972,2021,1994.0,2021.0,1973.0,2021.0,1972.0,2007.0
VICTORIA GORDON HEAD,COLOMBIE-BRITANNIQUE,1018614,115,,,48.47,-123.3,482800000,-1231800000,42.7,1959,1983,,,1959.0,1983.0,1959.0,1983.0
VICTORIA HARBOUR A,COLOMBIE-BRITANNIQUE,1018615,10944,,YWH,48.42,-123.39,482522000,-1232315000,0.0,1994,2015,1994.0,2015.0,,,,
VICTORIA HIGHLAND,COLOMBIE-BRITANNIQUE,1018616,116,,,48.51,-123.51,483033000,-1233030000,190.6,1961,2012,,,1961.0,2012.0,1961.0,2007.0
VICTORIA HOLLAND 2,COLOMBIE-BRITANNIQUE,1018617,117,,,48.48,-123.41,482902000,-1232423000,15.2,1960,2002,,,1960.0,2002.0,1960.0,2002.0
VICTORIA HIGHLANDS NORTH,COLOMBIE-BRITANNIQUE,1018618,49468,,,48.54,-123.5,483215005,-1233004000,230.0,2011,2017,,,2011.0,2017.0,,
VICTORIA HARBOUR A,COLOMBIE-BRITANNIQUE,1018619,53478,,YWH,48.42,-123.39,482522000,-1232315000,0.0,2015,2021,2015.0,2021.0,,,,
VICTORIA INT'L A,COLOMBIE-BRITANNIQUE,1018620,118,71799.0,YYJ,48.65,-123.43,483850010,-1232533000,19.51,1940,2013,1953.0,2013.0,1940.0,2013.0,1940.0,2013.0
VICTORIA INTL A,COLOMBIE-BRITANNIQUE,1018621,51337,71799.0,YYJ,48.65,-123.43,483850000,-1232533000,19.5,2013,2021,2013.0,2021.0,2013.0,2021.0,,
VICTORIA JUBILEE,COLOMBIE-BRITANNIQUE,1018629,119,,,48.43,-123.33,482600000,-1232000000,23.5,1968,1969,,,1968.0,1969.0,1968.0,1969.0
VICTORIA HARBOUR A,COLOMBIE-BRITANNIQUE,1018633,53479,,YWH,48.42,-123.39,482522000,-1232315000,0.0,2015,2021,2015.0,2021.0,2018.0,2021.0,,
VICTORIA LANSDOWNE,COLOMBIE-BRITANNIQUE,1018640,120,,,48.43,-123.32,482600000,-1231900000,29.0,1954,1962,,,1954.0,1962.0,1954.0,1962.0
VICTORIA MARINE,COLOMBIE-BRITANNIQUE,1018642,121,,,48.37,-123.75,482200000,-1234500000,31.7,1967,1992,1967.0,1992.0,1967.0,1992.0,1967.0,1992.0
VICTORIA MUSGRAVE STREET,COLOMBIE-BRITANNIQUE,1018644,122,,,48.43,-123.3,482600000,-1231800000,15.2,1966,1967,,,1966.0,1967.0,1966.0,1967.0
VICTORIA NORTH DAIRY RD,COLOMBIE-BRITANNIQUE,1018648,123,,,48.45,-123.33,482700000,-1232000000,40.8,1964,1965,,,1964.0,1965.0,1964.0,1965.0
VICTORIA NORTHRIDGE,COLOMBIE-BRITANNIQUE,1018651,124,,,48.49,-123.4,482917000,-1232355000,37.0,1990,1999,,,1990.0,1999.0,1990.0,1999.0
VICTORIA ROWLEY ROAD,COLOMBIE-BRITANNIQUE,1018657,125,,,48.47,-123.3,482800000,-1231800000,13.4,1962,1962,,,1962.0,1962.0,1962.0,1962.0
VICTORIA SINCLAIR ROAD,COLOMBIE-BRITANNIQUE,1018658,126,,,48.47,-123.3,482800000,-1231800000,53.3,1960,1960,,,1960.0,1960.0,1960.0,1960.0
VICTORIA TILLICUM,COLOMBIE-BRITANNIQUE,1018660,127,,,48.45,-123.39,482659000,-1232330000,22.9,1958,2000,,,1958.0,2000.0,1958.0,2000.0
VICTORIA TUDOR AVENUE,COLOMBIE-BRITANNIQUE,1018666,128,,,48.45,-123.27,482700000,-1231600000,21.6,1962,1963,,,1962.0,1963.0,1962.0,1963.0
WILLIAM HEAD,COLOMBIE-BRITANNIQUE,1018935,129,,,48.34,-123.54,482023000,-1233219000,12.2,1959,2018,,,1959.0,2018.0,1959.0,2007.0
VICTORIA U VIC,COLOMBIE-BRITANNIQUE,1018FF6,107,,,48.47,-123.33,482800000,-1232000000,68.4,1974,1988,,,1974.0,1988.0,1974.0,1988.0
VICTORIA HARTLAND CS,COLOMBIE-BRITANNIQUE,1018FJ5,11007,,,48.53,-123.46,483201800,-1232732900,154.1,1994,2012,1994.0,2012.0,1994.0,2012.0,1994.0,2005.0
YOUBOU,COLOMBIE-BRITANNIQUE,1019010,130,,,48.88,-124.22,485300000,-1241300000,173.7,1959,1967,,,1959.0,1967.0,1959.0,1967.0
YOUBOU SCHOOL,COLOMBIE-BRITANNIQUE,1019014,131,,,48.88,-124.22,485300000,-1241300000,189.0,1971,1973,,,1971.0,1973.0,1971.0,1973.0
CHEMAINUS BARE POINT,COLOMBIE-BRITANNIQUE,101AE00,2,,,48.92,-123.7,485500000,-1234200000,3.0,1979,1979,,,1979.0,1979.0,1979.0,1979.0
GALIANO SOUTH,COLOMBIE-BRITANNIQUE,101C04E,4,,,48.87,-123.32,485200000,-1231900000,15.2,1977,1978,,,1977.0,1978.0,1977.0,1978.0
GALIANO SOUTH 2,COLOMBIE-BRITANNIQUE,101C0ME,3,,,48.88,-123.35,485300000,-1232100000,61.0,1979,1984,,,1979.0,1984.0,1979.0,1984.0
SAANICHTON MT NEWTON 2,COLOMBIE-BRITANNIQUE,101F940,6807,,,48.6,-123.45,483600000,-1232700000,68.0,1993,1995,,,1993.0,1995.0,1993.0,1995.0
SAANICH OLDFIELD NORTH,COLOMBIE-BRITANNIQUE,101F942,5,,,48.55,-123.42,483300000,-1232500000,69.5,1965,1967,,,1965.0,1967.0,1966.0,1967.0
